method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
outconst,CLA_16b,True,0.01,,False,0.005,0.011,255.552,516.138,4.489,5.019,511,1023,10.8732041260009,0.628676470588235
outconst,CLA_16b,True,0.01,,False,0.005,0.011,255.552,516.138,4.489,5.019,511,1023,10.8339837579988,0.628676470588235
outconst,CLA_16b,True,0.05,,False,0.042,0.084,2044.663,4088.273,5.988,6.511,4095,8191,13.3615942479992,0.507352941176471
outconst,CLA_16b,True,0.05,,False,0.042,0.084,2044.663,4088.273,5.988,6.511,4095,8191,13.3646814169988,0.507352941176471
outconst,CLA_16b,True,0.1,,False,0.084,0.163,4093.057,8122.642,6.488,7.004,8191,16381,14.0821246489977,0.466911764705882
outconst,CLA_16b,True,0.1,,False,0.084,0.163,4093.057,8122.642,6.488,7.004,8191,16381,14.1167524239972,0.466911764705882
outconst,Mul_16b,True,0.01,,False,0.007,0.004,526406.919,508532.126,9.605,9.512,1048177,1045850,84.3331437789893,0.968489638966033
outconst,Mul_16b,True,0.01,,False,0.007,0.004,526406.919,508532.126,9.605,9.512,1048177,1045850,84.3708380960015,0.968489638966033
outconst,Mul_16b,True,0.05,,False,0.04,0.034,4157730.077,4364502.49,11.079,11.047,8388209,8376544,62.221932460001,0.947447126682333
outconst,Mul_16b,True,0.05,,False,0.04,0.034,4157730.077,4364502.49,11.079,11.047,8388209,8376544,61.5277838559996,0.947447126682333
outconst,Mul_16b,True,0.1,,False,0.07,0.065,8444896.897,9075346.392,11.59,11.608,16774144,16765152,52.5981295699894,0.943708609271523
outconst,Mul_16b,True,0.1,,False,0.07,0.065,8444896.897,9075346.392,11.59,11.608,16774144,16765152,53.6595516239904,0.943708609271523
outconst,DTree,False,0.01,,False,0,0,0,0,0,0,0,0,19.9296753119997,1
outconst,DTree,True,0.01,,False,0,0,0,0,0,0,0,0,35.7083138140006,0.97271986970684
outconst,DTree,False,0.05,,False,0,0,0,0,0,0,0,0,20.0447000999993,1
outconst,DTree,True,0.05,,False,0,0,0,0,0,0,0,0,35.3157316519937,0.97271986970684
outconst,DTree,False,0.1,,False,0,0,0,0,0,0,0,0,19.7757078279974,1
outconst,DTree,True,0.1,,False,0,0,0,0,0,0,0,0,35.9405816169892,0.97271986970684
outconst,CLA_16b,False,0.01,,False,0.005,0.005,255.552,255.836,4.489,4.51,511,511,4.86314012200455,0.816176470588235
outconst,CLA_16b,True,0.01,,False,0.005,0.005,255.552,255.836,4.489,4.51,511,511,5.32672108100087,0.672794117647059
outconst,CLA_16b,False,0.05,,False,0.042,0.042,2044.663,2041.848,5.988,6.012,4095,4095,6.43703668599483,0.704044117647059
