method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
decision_tree,max_128b,False,,5,True,1.03,0.391,1.98175143845289E+038,2.08208834355286E+038,49.98,52.969,1.47209384723931E+039,1.27206105462979E+039,9.01710247899973,0.728757290264693
decision_tree,max_128b,True,,5,False,1.426,0.714,3.45209182580437E+038,3.56402573703332E+038,64.132,65.112,1.61968343335138E+039,1.52212011219878E+039,4.30731152299995,0.38842530282638
decision_tree,max_128b,True,,5,True,1.025,0.393,1.98978408976608E+038,2.12995495782765E+038,49.911,52.969,1.47209384723931E+039,1.34096755744852E+039,11.5246522830003,0.723553162853298
decision_tree,max_128b,False,,8,False,1.294,0.621,2.73936595860172E+038,3.74579772353936E+038,60.42,64.653,1.56434908920707E+039,1.62732952582622E+039,33.4160640050013,3.74921489457156
decision_tree,max_128b,False,,8,True,0.113,0.318,1.80619058900866E+037,2.004943617811E+038,10.442,59.673,8.50705917302346E+038,1.27555262664457E+039,89.6309467970004,6.94284432480933
decision_tree,max_128b,True,,8,False,1.294,0.616,2.73936595860172E+038,3.76861702827251E+038,60.42,64.796,1.56434908920707E+039,1.64749985440366E+039,56.1624599339993,3.65634813817856
decision_tree,max_128b,True,,8,True,0.125,0.287,1.76116003596471E+037,2.15234881505377E+038,10.401,59.128,8.51540741281633E+038,1.2693904253271E+039,128.241722318999,6.91763122476447
decision_tree,adder_128b,False,,3,False,9.1,3.156,6.57994049638179E+038,7.00959541169315E+038,65.135,65.379,2.91606054939739E+039,2.9107983232808E+039,23.709830197,0.123769338959212
decision_tree,adder_128b,False,,3,True,3.724,6.488,1.05910480941408E+039,1.18117862956304E+039,64.983,65.537,3.27481251897761E+039,3.31312390406443E+039,6.85765648800043,0.627754336615096
decision_tree,adder_128b,True,,3,False,9.1,3.156,6.57994049638179E+038,7.00959541169315E+038,65.135,65.379,2.91606054939739E+039,2.9107983232808E+039,22.5497685379996,0.146038443506798
decision_tree,adder_128b,True,,3,True,3.724,6.488,1.05910480941408E+039,1.18117862956304E+039,64.975,65.558,3.27481251897761E+039,3.31312390406443E+039,7.70119564200104,0.632911392405063
decision_tree,adder_128b,False,,5,False,3.173,1.86,3.98316149039807E+038,4.63473685653456E+038,64.369,64.366,3.21383739761836E+039,3.1773331991622E+039,3.86960284000088,0.969995311767464
decision_tree,adder_128b,False,,5,True,6.79,6.186,9.59561128254714E+038,1.09753052196072E+039,63.958,65.273,3.28091839146374E+039,3.29517601400512E+039,17.2394596739996,3.32794186591655
decision_tree,adder_128b,True,,5,False,3.173,1.86,3.98316149039807E+038,4.63473685653456E+038,64.369,64.366,3.21383739761836E+039,3.1773331991622E+039,5.02980392899917,0.954055321143929
decision_tree,adder_128b,True,,5,True,6.789,6.186,9.5955817753565E+038,1.09745976604489E+039,63.929,65.248,3.28091839146374E+039,3.29517601440126E+039,21.8317621869992,3.25925925925926
decision_tree,adder_128b,False,,8,False,1.13,1.433,3.2275439257634E+038,4.03933752142662E+038,63.299,64.722,3.39288178272608E+039,3.3370773646718E+039,50.7631834120002,10.0808720112518
decision_tree,adder_128b,False,,8,True,3.617,5.062,6.28206718276267E+038,1.12534861866934E+039,54.141,65.238,3.18340369354803E+039,3.27713380488168E+039,184.134138234,24.9428035630567
decision_tree,adder_128b,True,,8,False,1.13,1.433,3.2275439257634E+038,4.03933752142662E+038,63.299,64.722,3.39288178272608E+039,3.3370773646718E+039,66.2780349389996,9.89498359118612
decision_tree,adder_128b,True,,8,True,3.664,5.011,6.30468303442123E+038,1.13240628612073E+039,54.189,65.387,3.18510924529298E+039,3.21788431215434E+039,251.595519646,24.9221753398969
decision_tree,barshift_128b,False,,3,False,3.753,4.203,1.08297683858594E+038,1.14256912451588E+038,60.39,63.874,3.05180461228209E+038,3.05066355545822E+038,10.4342843230006,0.0538801383019593
decision_tree,barshift_128b,False,,3,True,3.244,4.051,1.01465862791382E+038,1.11300085753607E+038,55.256,63.343,3.24829972867289E+038,3.25159726689973E+038,2.73309177100055,0.238186707645025
decision_tree,barshift_128b,True,,3,False,3.753,4.203,1.08297683858594E+038,1.14256912451588E+038,60.39,63.874,3.05180461228209E+038,3.05066355545822E+038,12.2411238900004,0.0538801383019593
decision_tree,barshift_128b,True,,3,True,3.244,4.051,1.01465862791382E+038,1.11300085753607E+038,55.256,63.343,3.24829972867289E+038,3.25159726689973E+038,3.5510424439999,0.239435266999616
decision_tree,barshift_128b,False,,5,False,3.271,3.817,1.04238443323062E+038,1.14142002110472E+038,56.813,63.924,3.36413365823227E+038,3.26343755720448E+038,2.83047044799969,0.422877449097196
decision_tree,barshift_128b,False,,5,True,2.395,3.913,8.90147262783456E+037,1.13131225768704E+038,46.583,63.579,3.24188663513605E+038,3.29086515009462E+038,8.83181238799989,1.26844026123703
decision_tree,barshift_128b,True,,5,False,3.271,3.817,1.04238443323062E+038,1.14142002110472E+038,56.813,63.924,3.36413365823227E+038,3.26343755720448E+038,4.07779349200064,0.411736457933154
decision_tree,barshift_128b,True,,5,True,2.412,3.888,8.91937264709071E+037,1.13039477796715E+038,46.577,63.566,3.24188663513605E+038,3.29086515009462E+038,13.1472461529993,1.27612370341913
decision_tree,barshift_128b,False,,8,False,2.34,2.974,8.8982351914224E+037,1.11981805104996E+038,43.86,64.436,3.31644509689796E+038,3.23218153817297E+038,41.3485753740006,4.1139070303496
decision_tree,barshift_128b,False,,8,True,0.636,3.041,4.21920697854593E+037,1.1142827893216E+038,17.979,63.642,2.9641843125978E+038,3.30979475613858E+038,144.407831156999,9.91874759892432
decision_tree,barshift_128b,True,,8,False,2.34,2.974,8.8982351914224E+037,1.12022341208951E+038,43.86,64.425,3.31644509689796E+038,3.23218153817297E+038,57.6087592570002,4.03745678063773
decision_tree,barshift_128b,True,,8,True,0.714,2.939,4.19485544445999E+037,1.13128672241985E+038,17.985,63.495,2.96421027408209E+038,3.30978825784469E+038,211.147658567001,9.87322320399539
decision_tree,div_64b,False,,3,False,0.989,3.334,7.73269016726632E+018,6.08540603196846E+018,,,5.1544676608105E+019,1.38866310489866E+019,20.952896177,0.00340316356388618
decision_tree,div_64b,False,,3,True,109.415,504.439,6.69776684479323E+020,1.85534881611398E+021,,,1.4210043061619E+021,1.31030819247432E+022,22.202194618,0.0124570628896145
decision_tree,div_64b,True,,3,False,0.99,3.334,7.73269016726632E+018,6.08540603196846E+018,,,5.14440405707776E+019,1.38866310489866E+019,22.465600699,0.00359399516559942
decision_tree,div_64b,True,,3,True,219.782,1172.012,1.45598802839335E+021,1.67029024690168E+021,,,1.41003785453415E+022,1.37152941143423E+022,23.164573736,0.0124464611339638
decision_tree,div_64b,False,,5,False,0.557,3.184,4.78034762469287E+018,8.40408222628353E+018,,,4.92524703527761E+019,4.92886944836487E+019,22.472834702,0.0219668377083245
decision_tree,div_64b,False,,5,True,81.571,451.799,5.70014157616343E+020,1.80158194012928E+021,,,1.42000000013742E+021,1.42964516317187E+022,23.0867146840001,0.0197192655103685
decision_tree,div_64b,True,,5,False,0.563,0.929,4.55762270186807E+018,2.12832723128211E+018,,,3.71422991041553E+019,6.09363664351923E+018,23.3601465060001,0.0208006445867436
decision_tree,div_64b,True,,5,True,169.791,1125.058,1.12045045018258E+021,1.58712969589633E+021,,,1.43003853051388E+022,1.2912951094661E+022,23.8172319619998,0.0200161146685891
