method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
probprun,BK_16b,False,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.56085569300194,1.0
probprun,BK_16b,True,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.6383113140000205,1.2937743190661477
probprun,BK_16b,False,0.1,,False,0.087,0.087,5091.241,5040.46,0.543,0.539,16384,16384,3.122929329998442,0.9727626459143969
probprun,BK_16b,True,0.1,,False,0.087,0.087,5091.241,5040.46,0.543,0.539,16384,16384,3.950296184000763,0.9513618677042802
probprun,CSkipA_16b,False,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.710883969997667,1.0
probprun,CSkipA_16b,True,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.908724872999301,1.0
probprun,CSkipA_16b,False,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.655628536998847,1.0
probprun,CSkipA_16b,True,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.389623449998908,1.0
probprun,CSkipA_16b,False,0.1,,False,0.093,0.093,8072.651,8057.65,0.123,0.123,65536,65536,5.008610062999651,0.9922178988326847
probprun,CSkipA_16b,True,0.1,,False,0.093,0.093,8072.651,8057.65,0.123,0.123,65536,65536,6.4109756170000765,1.0019455252918288
probprun,KS_16b,False,0.01,,False,0.007,0.007,371.233,364.104,0.169,0.173,44032,44032,4.4408386909999535,0.9911111111111112
probprun,KS_16b,True,0.01,,False,0.007,0.007,371.233,364.104,0.169,0.173,44032,44032,5.748302823998529,0.8237037037037037
probprun,KS_16b,False,0.05,,False,0.048,0.048,2583.25,2570.34,0.981,0.967,51712,51712,4.3863380499969935,0.9392592592592593
probprun,KS_16b,True,0.05,,False,0.048,0.047,2583.65,2542.856,0.73,0.719,50176,50176,20.825467618000403,0.7718518518518519
probprun,KS_16b,False,0.1,,False,0.048,0.048,2583.25,2570.34,0.981,0.967,51712,51712,4.276201617001789,0.9392592592592593
probprun,KS_16b,True,0.1,,False,0.048,0.047,2583.65,2542.856,0.73,0.719,50176,50176,20.421039264001593,0.7718518518518519
probprun,LFA_16b,False,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.518047785997624,1.0
probprun,LFA_16b,True,0.01,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.792876982999587,1.0
probprun,LFA_16b,False,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.695236064002529,1.0
probprun,LFA_16b,True,0.05,,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7.7349925199996505,1.0
probprun,LFA_16b,False,0.1,,False,0.095,0.095,8264.138,8219.792,0.126,0.125,65536,65536,4.940252713000518,0.9922178988326847
probprun,LFA_16b,True,0.1,,False,0.095,0.095,8264.138,8219.792,0.126,0.125,65536,65536,6.888083035999443,0.9883268482490273
probprun,WT_8b,False,0.01,,False,0.007,,172.125,,0.07,,18432,,12.029152576000342,0.9923224568138197
probprun,WT_8b,True,0.01,,False,0.007,,172.125,,0.07,,18432,,13.391597293000814,0.9534548944337813
probprun,WT_8b,False,0.05,,False,0.03,,771.504,,0.325,,42208,,25.3256905369999,0.9678502879078695
probprun,WT_8b,True,0.05,,False,0.021,,684.125,,0.086,,35328,,355.6727939759985,0.9443378119001921
probprun,WT_8b,False,0.1,,False,0.088,,2447.48,,0.997,,45600,,43.006890453998494,0.9169865642994243
probprun,WT_8b,True,0.1,,False,0.021,,684.125,,0.086,,35328,,354.6361947059995,0.9443378119001921
probprun,int2float,False,0.01,,False,0.0,,0.0,,0.0,,0,,0.6265246699986164,1.0
probprun,int2float,True,0.01,,False,0.0,,0.0,,0.0,,0,,2.9313371980024385,0.9853528628495342
probprun,int2float,False,0.05,,False,0.049,,1.591,,0.229,,84,,0.9431502299994463,0.8348868175765647
probprun,int2float,True,0.05,,False,0.041,,0.476,,0.026,,80,,10.757453301001078,0.8388814913448736
probprun,int2float,False,0.1,,False,0.094,,7.541,,0.942,,84,,1.2692664749993128,0.6844207723035952
probprun,int2float,True,0.1,,False,0.041,,0.476,,0.026,,80,,10.790775741999823,0.8388814913448736
probprun,RCA_4b,False,0.01,,False,0.0,,0.0,,0.0,,0,,0.22648168399973656,1.0
probprun,RCA_4b,True,0.01,,False,0.0,,0.0,,0.0,,0,,1.5806655999986106,0.9850746268656716
probprun,RCA_4b,False,0.05,,False,0.02,,0.25,,0.484,,1,,0.1942565690005722,0.9253731343283581
probprun,RCA_4b,True,0.05,,False,0.02,,0.25,,0.484,,1,,1.093974438001169,0.8432835820895522
probprun,RCA_4b,False,0.1,,False,0.065,,0.875,,0.758,,5,,0.17270210000060615,0.8955223880597015
probprun,RCA_4b,True,0.1,,False,0.065,,0.875,,0.758,,5,,0.8512320199988608,0.8283582089552239
probprun,dec,False,0.01,,False,0.008,,1.2169445762191002e+32,,0.008,,20769187434139310514121985316880384,,0.40147133199934615,0.9937007874015747
probprun,dec,True,0.01,,False,0.008,,1.2169445762191002e+32,,0.008,,20769187434139310514121985316880384,,2.309578813998087,0.9937007874015747
probprun,dec,False,0.05,,False,0.047,,5.801986091220597e+35,,0.047,,85070591730234615865843651857942052864,,0.5410002649987291,0.9622047244094488
probprun,dec,True,0.05,,False,0.02,,1.2575093954264036e+33,,0.02,,166153499473114484112975882535043072,,26.52543411899751,0.9858267716535433
probprun,dec,False,0.1,,False,0.098,,1.2448126070145176e+36,,0.145,,170141183460469231731687303715884105728,,0.9419258749985602,0.9212598425196851
probprun,dec,True,0.1,,False,0.02,,1.2575093954264036e+33,,0.02,,166153499473114484112975882535043072,,26.5430450620006,0.9858267716535433
probprun,DTree,False,0.25,,False,0.244,0.237,1.767,1.676,0.244,0.231,16,16,8.231848220006214,0.8253257328990227
probprun,DTree,True,0.25,,False,0.045,0.054,0.168,0.175,0.043,0.046,16,16,23.84526084800018,0.6539087947882736
probprun,DTree,False,0.5,,False,0.436,0.414,2.703,2.598,0.468,0.447,16,16,7.876081845999579,0.6889250814332247
probprun,DTree,True,0.5,,False,0.045,0.054,0.168,0.175,0.043,0.046,16,16,23.812914768001065,0.6539087947882736
probprun,barshift_128b,False,0.25,,False,0.248,0.283,3.966619224984052e+37,4.331396126540904e+37,17.681,19.516,333024915473126533662634554752600426578,329659278687597346019331691534255941637,30.510549444006756,0.9362274298885901
probprun,barshift_128b,True,0.25,,False,0.05,0.059,7.739031681814584e+36,8.121778065286308e+36,2.737,3.048,202708569966715504786096428774093488128,202042655359307212681669155407314026496,205.13399088798906,0.9854975028812909
probprun,barshift_128b,False,0.5,,False,0.487,0.532,8.157636178391555e+37,8.653743039723968e+37,37.628,40.028,338506156759729500727722704272464868803,333072949214619011859600896111010383874,86.52813438299927,0.8540145985401459
probprun,barshift_128b,True,0.5,,False,0.05,0.059,7.739031681814584e+36,8.121778065286308e+36,2.737,3.048,202708569966715504786096428774093488128,202042655359307212681669155407314026496,203.8994956670067,0.9854975028812909
probprun,sobel,False,0.25,,False,0.078,0.087,9.625,10.25,0.829,0.859,182,139,7.389939107990358,0.9673001676914477
probprun,sobel,True,0.25,,False,0.078,0.087,9.625,10.25,0.829,0.859,182,139,13.61701377198915,0.9427054220234767
probprun,sobel,False,0.5,,False,0.475,0.488,44.252,43.763,2.536,2.54,232,232,24.366989447007654,0.03633314700950251
probprun,sobel,True,0.5,,False,0.291,0.287,22.916,22.075,1.128,1.122,196,194,46.498033869997016,0.912520961430967
probprun,BK_32b,False,0.25,,False,0.244,0.251,1108954825.085,1154550475.223,9.369,9.426,5928123392,5922604032,12.641811521010823,0.8268315889628924
probprun,BK_32b,True,0.25,,False,0.101,0.1,400642650.254,407195618.802,5.786,5.82,1649410048,1649999872,11.787468491005711,0.8087535680304473
probprun,BK_32b,False,0.5,,False,0.444,0.436,1473497251.628,1487856715.496,14.855,14.812,5725418496,5716505104,15.948242357000709,0.6631779257849667
probprun,BK_32b,True,0.5,,False,0.101,0.1,400642650.254,407195618.802,5.786,5.82,1649410048,1649999872,11.388721343988436,0.8087535680304473
probprun,KS_32b,False,0.25,,False,0.205,0.205,857154697.811,864119712.582,15.771,15.765,4105978687,4088664920,9.88412987900665,0.5248281130634072
probprun,KS_32b,True,0.25,,False,0.141,0.137,531212195.581,512319284.195,5.461,5.432,3145728000,3130240000,11.679566032005823,0.8143621084797555
probprun,KS_32b,False,0.5,,False,0.412,0.424,2116539904.111,2192357923.117,16.089,16.094,8400945983,8383632216,8.414944527990883,0.507257448433919
probprun,KS_32b,True,0.5,,False,0.141,0.137,531212195.581,512319284.195,5.461,5.432,3145728000,3130240000,11.574847608004347,0.8143621084797555
probprun,CLA_16b,False,0.25,,False,0.208,0.205,12517.208,12517.231,7.066,7.12,55690,56572,7.463107912000851,0.7352941176470588
probprun,CLA_16b,True,0.25,,False,0.2,0.193,9087.919,8861.677,0.906,0.919,69632,69632,18.26835353100614,0.9613970588235294
probprun,CLA_16b,False,0.5,,False,0.392,0.394,30068.25,30570.121,8.338,8.429,121223,122108,6.304838709998876,0.7169117647058824
probprun,CLA_16b,True,0.5,,False,0.2,0.193,9087.919,8861.677,0.906,0.919,69632,69632,18.1405695410067,0.9613970588235294
probprun,BK_16b,False,0.25,,False,0.216,0.218,12438.046,12338.068,4.008,4.079,82256,82240,6.155257142992923,0.8443579766536965
probprun,BK_16b,True,0.25,,False,0.141,0.147,6451.842,6534.393,1.217,1.231,24576,24576,16.690014549007174,0.9105058365758756
probprun,BK_16b,False,0.5,,False,0.466,0.48,21319.404,21512.689,4.161,4.238,91408,91408,5.34280588501133,0.8365758754863812
probprun,BK_16b,True,0.5,,False,0.141,0.147,6451.842,6534.393,1.217,1.231,24576,24576,16.605861181989894,0.9105058365758756
probprun,CSkipA_16b,False,0.25,,False,0.227,0.23,18312.709,18528.47,3.186,3.245,102640,102592,4.690690952993464,0.8793774319066148
probprun,CSkipA_16b,True,0.25,,False,0.107,0.108,8908.678,8993.616,1.156,1.158,69904,69904,16.552103006004472,0.9357976653696498
probprun,CSkipA_16b,False,0.5,,False,0.497,0.499,35033.185,35185.949,7.983,7.961,111650,111498,7.451056056001107,0.44163424124513617
probprun,CSkipA_16b,True,0.5,,False,0.107,0.108,8908.678,8993.616,1.156,1.158,69904,69904,16.55707754600735,0.9357976653696498
probprun,KS_16b,False,0.25,,False,0.242,0.239,13528.476,13349.918,7.622,7.568,66757,66624,8.380558896998991,0.5807407407407408
probprun,KS_16b,True,0.25,,False,0.048,0.047,2583.65,2542.856,0.73,0.719,50176,50176,20.794520755996928,0.7718518518518519
probprun,KS_16b,False,0.5,,False,0.42,0.415,32332.029,31994.545,8.223,8.176,129668,128076,8.658792599002481,0.5362962962962963
probprun,KS_16b,True,0.5,,False,0.048,0.047,2583.65,2542.856,0.73,0.719,50176,50176,20.729662370998994,0.7718518518518519
probprun,LFA_16b,False,0.25,,False,0.095,0.095,8264.138,8219.792,0.126,0.125,65536,65536,4.961450318005518,0.9922178988326847
probprun,LFA_16b,True,0.25,,False,0.095,0.095,8264.138,8219.792,0.126,0.125,65536,65536,6.890758781009936,0.9883268482490273
probprun,LFA_16b,False,0.5,,False,0.499,0.495,23233.756,23234.378,4.653,4.697,88320,88324,5.350593688010122,0.8287937743190662
probprun,LFA_16b,True,0.5,,False,0.494,0.487,22405.54,22241.501,1.122,1.133,81920,81920,18.74777636300132,0.9182879377431906
probprun,WT_8b,False,0.25,,False,0.212,,4786.759,,3.53,,51916,,44.98752239099122,0.7005758157389635
probprun,WT_8b,True,0.25,,False,0.094,,2582.483,,0.881,,39552,,70.51117424099357,0.8181381957773513
probprun,WT_8b,False,0.5,,False,0.477,,9533.461,,5.091,,49038,,54.620269044011366,0.5215930902111324
probprun,WT_8b,True,0.5,,False,0.094,,2582.483,,0.881,,39552,,70.18239611299941,0.8181381957773513
probprun,int2float,False,0.25,,False,0.219,,20.682,,3.528,,117,,1.7039097029919503,0.20905459387483358
probprun,int2float,True,0.25,,False,0.041,,0.476,,0.026,,80,,10.696610947008594,0.8388814913448736
probprun,int2float,False,0.5,,False,0.394,,34.245,,3.773,,157,,1.8237111839989666,0.15978695073235688
probprun,int2float,True,0.5,,False,0.041,,0.476,,0.026,,80,,10.684558156004641,0.8388814913448736
probprun,RCA_4b,False,0.25,,False,0.179,,3.312,,0.91,,21,,0.15832227500504814,0.8656716417910447
probprun,RCA_4b,True,0.25,,False,0.179,,3.312,,0.91,,21,,0.5949607560032746,0.7835820895522388
probprun,RCA_4b,False,0.5,,False,0.37,,4.785,,1.969,,29,,0.1870922780071851,0.7014925373134329
probprun,RCA_4b,True,0.5,,False,0.291,,5.469,,1.225,,29,,1.0598623190016951,0.7611940298507462
probprun,dec,False,0.25,,False,0.246,,1.2448126070145176e+36,,0.441,,170141183460469231731687303715884105728,,1.4188227190024918,0.8015748031496063
probprun,dec,True,0.25,,False,0.02,,1.2575093954264036e+33,,0.02,,166153499473114484112975882535043072,,26.40752994500508,0.9858267716535433
probprun,dec,False,0.5,,False,0.496,,1.4326103994104167e+37,,0.914,,1701411834604692317316873037158841057280,,3.3648109560017474,0.6
probprun,dec,True,0.5,,False,0.02,,1.2575093954264036e+33,,0.02,,166153499473114484112975882535043072,,26.409096422008588,0.9858267716535433
